ComplexID,ComplexName,Subunits_UniProt_IDs
Complex_234,CUL4A-DDB1-WDR61 complex_6494,CUL4A:DDB1:WDR61
Complex_235,CUL4B-DDB1-DTL-CSN complex_6482,COPS2:CUL4B:DDB1:DTL:GPS1
Complex_236,CUL4B-DDB1-TLE3 complex_6553,CUL4B:DDB1:TLE3
Complex_237,CXCR2-NHERF1-PLC-beta-3 complex_6702,PLCB3:SLC9A3R1
Complex_238,"Calcineurin_6023#Calcineurin complex (Calna, Cna2, Gria1, Gria2, Cacng8)_6385",PPP3CA:PPP3R1
Complex_239,Calpain 1_6710,CAPN1:CAPNS1
Complex_240,Calpain 2_6711,CAPN2:CAPNS1
Complex_241,"Casein kinase II (beta-dimer, alpha, alpha')_2720#Ksr1-CK2 complex_5910",CSNK2A1:CSNK2A2
Complex_242,"Casein kinase II (beta-dimer, alpha, alpha')_2720#Ksr1-CK2 complex_5910",CSNK2A1:CSNK2A2:CSNK2B
Complex_243,Caspase-2-TRAF2-RIP1 complex_249,CASP2
Complex_244,Cbl-Cd2ap complex_5722#Cbl-Cd2ap-Flt1 complex_5723,CBL:CD2AP
Complex_245,"Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated_2534#Cbl-Frs2-Grb2 complex_6912",CBL
Complex_246,Ccd1-Dvl2-Rac complex_2973,DVL2:RAC1
Complex_247,Ccnb1-Itpr1-Cdk1 signaling complex_586,CCNB1:CDK1
Complex_248,Cd2ap-Nphs1-Sept7 complex_7232,CD2AP:SEPT7
Complex_249,Cd3e-Nck1-Mink1 complex_5291,MINK1
Complex_250,Cdc42-Par6b-Par3-Prkci complex_802,CDC42:PRKCI
Complex_251,Cdk5-c-Abl-Cables complex_1595,ABL1:CDK5
Complex_252,Cdk5-p39-CaMKII(alpha)-(alpha)actinin1 complex_5092,ACTN1:CDK5
Complex_253,Cell cycle kinase complex CDC2_310,CCNB1:CCNB2:CDK1:PCNA
Complex_254,Cell cycle kinase complex CDK2_311,CDK2:PCNA
Complex_255,Cell cycle kinase complex CDK4_312,CDK4:PCNA
Complex_256,Cell cycle kinase complex CDK5_313,CDK5:PCNA
Complex_257,Chromatin assembly complex (CAF-1 complex)_1259,CHAF1B:RBBP4
Complex_258,Chromatin assembly complex (CAF-1 complex)_1259,CHAF1A:CHAF1B:RBBP4
Complex_259,"Chromatin remodeling complex (TACC2, TACC3, PCAF)_5373",TACC2:TACC3
Complex_260,"Class C Vps complex (VPS11, VPS18, STX7)_943",STX7:VPS11:VPS18
Complex_261,"Class C Vps complex (VPS11, VPS18, VPS16)_944#Class C Vps complex (hVPS11, hVPS18, hVPS16, rVPS33a )_946",VPS11:VPS16:VPS18
Complex_262,"Class C Vps complex (hVPS11, hVPS18, rVPS33a )_945",VPS11:VPS18
Complex_263,"Class C Vps complex (hVPS11, hVPS18, rVPS33a )_945",VPS11:VPS18:VPS33A
Complex_264,Cleavage stimulation factor_1146#BARD1-BRCA1-CSTF complex_2211,CSTF1:CSTF2:CSTF3
Complex_265,CoREST-HDAC complex_620#BHC complex_636#BRAF53-BRCA2 complex_871,HDAC1:HDAC2:HMG20B:KDM1A:RCOR1
Complex_266,"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)_7141",PREB:SEC23A:SEC23IP
Complex_267,"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)_7141",PREB:SAR1B:SEC23IP
Complex_268,Coatomer complex_3145#Coatomer-Arf1 complex_3146,ARCN1:COPA:COPB1:COPB2:COPE:COPG1:COPZ1
Complex_269,"Codanin-1-Asf1\u2013histone H3.1-histone H4\u2013importin-4 complex,  cytosolic_6149",ASF1A:CDAN1:HIST1H4A:IPO4
Complex_270,Cofilin-actin-CAP1 complex_2255,CAP1:CFL1
Complex_271,Cohesin-SA1 complex_165,RAD21:SMC1A:SMC3:STAG1
Complex_272,Cohesin-SA2 complex_166,RAD21:SMC1A:SMC3:STAG2
Complex_273,Cpt1a-Acsl1-Vdac1 complex_6781,ACSL1:CPT1A:VDAC1
Complex_274,CtBP complex_642#CtBP core complex_643,CTBP1:CTBP2:HDAC1:HDAC2:KDM1A
Complex_275,Cullin-RING E3 ubiquitin ligase complex_6268,ASB9:CUL5
Complex_276,CyclinD3-CDK4-CDK6 complex_5100#CyclinD3-CDK4-CDK6-p21 complex_5101,CDK4:CDK6
Complex_277,"Cytochrome bc1-complex (EC 1.10.2.2), mitochondrial_403",CYC1:UQCRB:UQCRC1:UQCRC2:UQCRH:UQCRQ
Complex_278,"Cytochrome bc1-complex (EC 1.10.2.2), mitochondrial_403",CYC1:UQCRB:UQCRC1:UQCRC2:UQCRFS1:UQCRH:UQCRQ
Complex_279,"Cytochrome bc1-complex, mitochondrial_516",CYC1:UQCRB:UQCRC1:UQCRC2:UQCRH:UQCRQ
Complex_280,"Cytochrome bc1-complex, mitochondrial_516",CYC1:UQCRB:UQCRC1:UQCRC2:UQCRFS1:UQCRH:UQCRQ
Complex_281,DBC1-SIRT1 complex_6846,CCAR2
Complex_282,DBC1-SIRT1 complex_6846,CCAR2:SIRT1
Complex_283,DCP1A-NR3C1-PNRC2-UPF1-complex_7030,DCP1A:NR3C1:UPF1
Complex_284,"DCS complex (Ptbp1, Ptbp2, Hnrph1, Hnrpf)_5142",HNRNPF:HNRNPH1:PTBP1
Complex_285,DCS complex_7381,HNRNPH1:KHSRP:PTBP1
Complex_286,DDB complex_790,DDB1:DDB2
Complex_287,DDB2 complex_726,COPS2:COPS3:COPS4:COPS5:COPS6:COPS7A:COPS8:CUL4A:DDB1:DDB2:GPS1
Complex_288,DDEF1-CTTN-PXN complex_5318,ASAP1:CTTN:PXN
Complex_289,DDX11-Ctf18-RFC complex_6304,CHTF18:DSCC1:PCNA:WDHD1
Complex_290,DDX11-Ctf18-RFC complex_6304,PCNA
Complex_291,DLG5-SORBS3-CTNNB1 complex_6264,CTNNB1
Complex_292,DLG5-SORBS3-CTNNB1 complex_6264,CTNNB1:SORBS3
Complex_293,DNA double-strand break end-joining complex_1189,LIG4:XRCC4:XRCC5:XRCC6
Complex_294,DNA double-strand break end-joining complex_1189,LIG4:XRCC5:XRCC6
Complex_295,DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex_362,PNKP:XRCC1
Complex_296,DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex_362,LIG3:PNKP:XRCC1
Complex_297,DNA ligase IV-XRCC1 complex_213,LIG4:XRCC1
Complex_298,DNA ligase IV-XRCC4 complex_345#DNA ligase IV-XRCC4 complex_348,LIG4:XRCC4
Complex_299,DNA ligase IV-XRCC4-PNK complex_350,LIG4:PNKP:XRCC4
Complex_300,DNA ligase IV-XRCC4-PNK complex_350,LIG4:PNKP
Complex_301,DNA ligase IV-XRCC4-XLF complex_359,LIG4:XRCC4
Complex_302,DNA polymerase alpha-primase complex_1100,POLA1:POLA2:PRIM1:PRIM2
Complex_303,DNA polymerase alpha-primase complex_47,POLA1:POLA2:PRIM1:PRIM2
Complex_304,DNA polymerase alpha_1109,POLA1:POLA2
Complex_305,DNA polymerase delta complex_294,POLD1:POLD2:POLD3
Complex_306,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1_1085#DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1_1086,PDXK:XRCC1
Complex_307,DNA synthesome complex (17 subunits)_1111,PCNA:POLA2:POLD1:POLD2:POLD3:POLE3:POLE4:PRIM2:RPA1
Complex_308,DNA synthesome complex (17 subunits)_1111,PCNA:POLA2:POLD1:POLD2:POLD3:POLE3:POLE4:RPA1:TOP1
Complex_309,DNA synthesome complex_1001,LIG1:PCNA:POLA1:POLA2:POLD1:POLD2:POLD3:PRIM1:PRIM2
Complex_310,DNA synthesome complex_1001,LIG1:PCNA:POLA1:POLA2:POLD1:POLD2:POLD3:PRIM1:PRIM2:TOP1
Complex_311,DNAJC7-HSPA8-HSP90AA1 complex_6399,DNAJC7:HSP90AA1:HSPA8
Complex_312,DNJC3-DNAJB1-HSPA8 complex_6396,DNAJB1:DNAJC3:HSPA8
Complex_313,DNM1L-FIS1 complex_4200,DNM1L:FIS1
Complex_314,DNMT1-EHMT2-PCNA complex_860,DNMT1:PCNA
Complex_315,DSIF complex (DRB sensitivity-inducing factor complex)_2860#DSIF complex (DRB sensitivity-inducing factor complex)_2861,SUPT4H1:SUPT5H
Complex_316,DSS1 complex_1154,INTS7
Complex_317,DSS1 complex_1154,INTS4:INTS9:SAC3D1
Complex_318,Dhcr7-Dhcr24 complex_7342,DHCR24:DHCR7
Complex_319,Dnm1l-Mff complex_6475,DNM1L
Complex_320,Dok1-Map4k4-Nck1-Rasa1 complex_5708,NCK1
Complex_321,Dok1-Map4k4-Nck1-Rasa1 complex_5708,MAP4K4:NCK1:RASA1
Complex_322,Dolichol-phosphate mannose (DPM) synthase_5244,DPM1:DPM3
Complex_323,"Dynactin complex (DCTN1, DCTN2, DCTN3, DCTN4, DCTN6, CAPZA1, CAPZB, ACTR1A)_2247",ACTR1A:CAPZA1:CAPZB:DCTN1:DCTN2:DCTN3:DCTN4:DCTN6
Complex_324,Dynein complex_6038,DYNC1H1:DYNC1LI1:DYNLL1
Complex_325,"Dynein-2 complex, cytoplasmic_6236",DYNLL1:DYNLRB1:DYNLT1:DYNLT3:NUDCD3
Complex_326,"Dynein-2 complex, cytoplasmic_6236",DYNLL1:DYNLL2:DYNLRB1:DYNLT1:DYNLT3:NUDCD3
Complex_327,Dynein-dynactin complex_6039,DCTN1:DYNC1H1:DYNC1LI1:DYNLL1
Complex_328,Dynein-dynactin complex_6048,DCTN1:DCTN2
Complex_329,"Dystrobrevin-syntrophin complex, brain-derived_317#Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle_337#Trpc1-dystrophin-alpha1-syntrophin complex_751#Dystrophin complex (Dmd; Snta1)_6326",DMD:SNTA1
Complex_330,"Dystrophin-associated glycoprotein complex DGC (Dag1, Dp71f, Sgcd, Snta1), retinal glia cells_457",DAG1:SNTA1
Complex_331,"Dystrophin-associated glycoprotein complex DGC (Dag1, Dp71f, Sgcd, Snta1), retinal glia cells_457",DAG1:DMD:SNTA1
Complex_332,"Dystrophin-associated glycoprotein complex DGC (Dag1, Dp71f, Utrn), retinal glia cells_458",DAG1:UTRN
Complex_333,"Dystrophin-associated glycoprotein complex DGC (Dag1, Dp71f, Utrn), retinal glia cells_458",DAG1:DMD:UTRN
Complex_334,Dystrophin-glycoprotein complex (DGC)_6879,DAG1
Complex_335,Dystrophin-glycoprotein complex (DGC)_6879,DAG1:YAP1
Complex_336,"Dystrophin-glycoprotein complex DGC, skeletal muscle_341",DAG1
Complex_337,"Dystrophin-glycoprotein complex DGC, skeletal muscle_341",DAG1:DMD
Complex_338,EARP complex_6459,VPS50:VPS51:VPS52:VPS53
Complex_339,EB1-APC-mDia1 complex_3013,DIAPH1:MAPRE1
Complex_340,EB1-APC-mDia2 complex_1843,DIAPH3:MAPRE1
Complex_341,ECT2-KIF23-RACGAP1 complex_7439#KIF23-RACGAP1 complex_7440,KIF23:RACGAP1
Complex_342,EED-EZH2 complex_974,RBBP4:SUZ12
Complex_343,EGFR-CBL-GRB2 complex_2542,CBL:EGFR
Complex_344,EGFR-containing signaling complex_1185,EGFR:PIK3C2B
Complex_345,"EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)_4392",EIF3A:EIF3B:EIF3C:EIF3G:EIF3I
Complex_346,"EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)_4403",EIF3A:EIF3B:EIF3G:EIF3I:EIF3J
Complex_347,"EIF3 complex (EIF3B, EIF3G, EIF3I)_4395",EIF3B:EIF3G:EIF3I
Complex_348,"EIF3 complex (EIF3B, EIF3J, EIF3I)_4399",EIF3B:EIF3I:EIF3J
Complex_349,"EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I)_4389",EIF3A:EIF3B:EIF3G:EIF3I
Complex_350,ELMO1-DOCK1-CRKII complex_5343,CRK
Complex_351,ELMO1-DOCK1-RAC1 complex_5342,DOCK1:RAC1
Complex_352,ERBB2-MEMO-SHC complex_2528,MEMO1
Complex_353,ERCC1-ERCC4-MSH2 complex_368,ERCC1:ERCC4:MSH2
Complex_354,ERCC1-RPA1-XPA complex_7295,ERCC1:RPA1
Complex_355,ERdj3-BiP complex_1246,DNAJB11:HSPA5
Complex_356,ESCRT-I complex_1192,TSG101:VPS28:VPS37C
Complex_357,ESCRT-II complex_1187,SNF8:VPS25:VPS36
Complex_358,ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex_2657,CCNH:CDK7:HDAC2:MNAT1
Complex_359,ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex_2657,CCNH:CDK7:HDAC2:MNAT1:MTA1
Complex_360,ESYT1-ESYT2 complex_7313,ESYT1:ESYT2
Complex_361,"Ecsit complex (ECSIT, NDUFS3, NDUFAF1)_2942",NDUFAF1:NDUFS3
Complex_362,"Egfr-Grb2-mSos1 complex, EGF stimulated_2548",EGFR:GRB2
Complex_363,Elavl1-Tia complex_7119#Grb7-Elavl1-Tia1 complex_7120,ELAVL1:TIA1
Complex_364,Elongator holo complex_1380,ELP2:ELP3:ELP4
Complex_365,Emerin architectural complex_5608,EMD:LMNA:LMNB1:NMI:SPTAN1
Complex_366,Emerin complex 1_5604,CNN3:MYO1E
Complex_367,Emerin complex 25_5613,BANF1:BCCIP:CDC37:EMD:G3BP1:HNRNPK:LSM2:LSM8:SNRPD1:SSB:YWHAB:YWHAE:ZRANB2
Complex_368,Emerin complex 25_5613,BANF1:BCCIP:CDC37:EMD:G3BP1:HNRNPK:LMNB1:LSM2:LSM8:SNRPD1:SSB:YWHAB:YWHAE:ZRANB2
Complex_369,Emerin complex 32_5614,CHD4:EMD:HDAC1:LMNB1:NMI:RCOR1:SMARCB1:SMARCC1:SMARCC2:SPTAN1:TRIM28
Complex_370,Emerin-actin-NMI-(alphaII)spectrin complex_5606,EMD:NMI:SPTAN1
Complex_371,Endosomal targeting complex (VIPAS39-VPS33B)_6390,VIPAS39:VPS33B
Complex_372,Epithelial utrophin-associated protein complex_307,SNTB2:UTRN
Complex_373,Epsin-clathrin complex_1228,AP2A2:AP2M1:EPN1
Complex_374,Ets2-Smarca4-Smarcb1-Smarce1 complex_5292,SMARCA4:SMARCB1:SMARCE1
Complex_375,Ets2-Smarca4-Smarcb1-Smarce1 complex_5292,ETS2:SMARCA4:SMARCB1:SMARCE1
Complex_376,"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)_740#Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)_755#SMG1-UPF2-Y14-MAGOH-UPF3B-EIF4A3 complex_6742",EIF4A3:RBM8A
Complex_377,Exon junction complex_777#Splicing-associated factors complex_5449,ALYREF:RBM8A
Complex_378,Exon junction complex_777#Splicing-associated factors complex_5449,ALYREF:RBM8A:SRRM1
Complex_379,Exon junction complex_785,ALYREF:DDX39B:EIF4A3:RBM8A
Complex_380,Exon junction complex_785,ALYREF:DDX39B:EIF4A3:RBM8A:SRRM1
Complex_381,Ezrin-Nherf1-Irbit-NHE3 complex_6663,AHCYL1:EZR:SLC9A3R1
Complex_382,"FACT complex, UV-activated_938",CSNK2A1:CSNK2A2:SSRP1:SUPT16H
Complex_383,"FACT complex, UV-activated_938",CSNK2A1:CSNK2A2:CSNK2B:SSRP1:SUPT16H
Complex_384,FACT complex_936,SSRP1:SUPT16H
Complex_385,FACT-NEK9 complex_934,NEK9:SSRP1:SUPT16H
Complex_386,FAK-p120RasGAP-p190RhoGAP complex_6926,PTK2:RASA1
Complex_387,FCP1-associated protein complex_811,CTDP1:GTF2F1:POLR2B:PRMT5:WDR77
Complex_388,FCP1-associated protein complex_811,CTDP1:ERH:GTF2F1:POLR2B:PRMT5:WDR77
Complex_389,FHL2-FHL3 complex_3187,FHL2:FHL3
Complex_390,FIB-associated protein complex_1231,C1QBP:PRMT1:PRMT5
Complex_391,FNBP1L-TJP1 complex_7323,FNBP1L:TJP1
Complex_392,FOXO1-FHL2-SIRT1 complex_2590,FHL2:SIRT1
Complex_393,Fak-Pde4d5-Rack1 complex_6924,PDE4D:PTK2:RACK1
Complex_394,Farnesyltransferase_419,FNTA:FNTB
Complex_395,Fhl1-Pdlim1-Gsn-Actn1 complex_6774,ACTN1:PDLIM1
Complex_396,Fhl1-Pdlim1-Gsn-Actn1 complex_6774,ACTN1
Complex_397,Fkbp5-Hsp90aa1-Hspa1a-Nr3c1 complex_6964,FKBP5:HSP90AA1:NR3C1
Complex_398,Frataxin complex_1094,AFG3L2:FXN:HSPA9:HSPD1:LYRM4:SDHA
Complex_399,Fzd8-Ror2-Wnt5a complex_6944,ROR2:WNT5A
Complex_400,G alpha-13-Hax-1-cortactin-Rac complex_6282,CTTN:GNA13:HAX1
Complex_401,"G protein complex (HDAC4, GNB1, GNG2)_1620",GNB1
Complex_402,"G protein complex (Hdac4, Gnb1, Gng2)_3192",GNB1
Complex_403,"G protein complex (NME2, GNB1, GNGT1)_3224",GNB1:NME2
Complex_404,GAA1-GPI8-PIGT-PIG-PIGS complex_994,GPAA1:PIGK:PIGS:PIGT:PIGU
Complex_405,GALNS-lysosomal hydrolase 1.27 MDa complex_1379,CTSA:GLB1:NEU1
Complex_406,GARP complex_6463,VPS51:VPS52:VPS53
Complex_407,GATB-GATC-QRSL1 complex_6959,GATB:GATC:QRSL1
Complex_408,GATOR2 complex_6216#GATOR complex_6217#SOG complex_6753,MIOS:SEC13
Complex_409,GATOR2 complex_6216#GATOR complex_6217#SOG complex_6753,MIOS:SEC13:SEH1L
Complex_410,GINS complex_678,GINS1:GINS2:GINS3:GINS4
Complex_411,GIT1-ARHGEF7-PAK1-PXN complex_6341,GIT1:PAK1:PXN
Complex_412,GIT1-ARHGEF7-PAK1-PXN complex_6341,ARHGEF7:GIT1
Complex_413,GNAI1-GNB1-GNG5 complex_7036#GNAS-L-GNB1-GNG5 complex_7165,GNB1:GNG5
Complex_414,GNAI1-GNB2-GNG12 complex_7087#GNAS-L-GNB2-GNG12 complex_7205,GNB2:GNG12
Complex_415,GNAI1-GNB2-GNG5 complex_7037#GNAS-L-GNB2-GNG5 complex_7166,GNB2:GNG5
Complex_416,GNAS-L-GNB1-GNG12 complex_7204,GNB1:GNG12
Complex_417,GPR56-CD81-Galpha(q/11)-Gbeta complex_117,ADGRG1:CD81:GNAQ:GNB1
Complex_418,"GRB2-SHP-2 complex, PDGF stimulated_3186",GRB2:PTPN11
Complex_419,GRPEL1-GRPEL2 complex_7123,GRPEL1:GRPEL2
Complex_420,GSK3B-HSP90AA1-PKM2 complex_7284,GSK3B:HSP90AA1:PKM
Complex_421,GSKIP-GSK3B-PRKAR2A complex_7127,GSK3B:GSKIP:PRKAR2A
Complex_422,"Gamma-secretase complex (Aph1a, Ncstn, Psen1, Psenen, Tmp21)_674",NCSTN:TMED10
Complex_423,Gamma-tubulin complex_6893,TUBGCP2:TUBGCP3:TUBGCP4:TUBGCP6
Complex_424,Gamma-tubulin complex_6893,TUBGCP2:TUBGCP3:TUBGCP4:TUBGCP5:TUBGCP6
Complex_425,Gata1-Fog1-MeCP1 complex_2750,CHD4:GATAD2B:HDAC1:HDAC2:MBD2:MBD3:MTA1:MTA2:MTA3:RBBP4:RBBP7
Complex_426,GluR1-cadherin-catenin complex_884#Glur4-cadherin-catenin complex_885,CDH2:CTNNB1
Complex_427,Glucosidase 2_405,GANAB:PRKCSH
Complex_428,Glutamate-cysteine ligase_7186,GCLC:GCLM
Complex_429,Golgin45-Grasp55-Rab2(GTP) complex_7055,GORASP2:RAB2A
Complex_430,"Grb2-Egfr complex, EGF stimulated_2888",EGFR:GRB2
Complex_431,"Grb2-Shp2 complex, FGF stimulated_3179",GRB2:PTPN11
Complex_432,Grb2-mSos1 complex_2545#BCR-ABL (p210 fusion protein)-GRB2-SOS1 complex_2893#GRB2-SOS1 complex_3144#Frs2-Grb2-Sos1 complex_6911,GRB2
Complex_433,Grp94-Os-9 chaperone-lectin complex_6874,HSP90B1:OS9
Complex_434,Grp94-Os-9 chaperone-lectin complex_6874,HSP90B1
Complex_435,H2AX complex II_1227,CALR:HIST1H4A:HSPA5:NPM1:YBX3
Complex_436,"H2AX complex, isolated from cells without IR exposure_1223",CALR:EIF3L:HIST1H4A:HNRNPR:HSPA5:NPM1:PABPC1:SSB:SSRP1:SUPT16H
Complex_437,HAX-1-XIAP complex_6292,HAX1:XIAP
Complex_438,HDAC1-associated core complex cII_649,GATAD2A:HDAC1:MBD2:MBD3:MTA2:RBBP4:RBBP7:RCOR1
Complex_439,HDAC1-associated core complex cII_649,CHD3:GATAD2A:HDAC1:MBD2:MBD3:MTA2:RBBP4:RBBP7:RCOR1
Complex_440,HDAC1-associated protein complex_646,HDAC1:KDM1A:MBD2:MBD3:MTA2:RBBP4:RBBP7:RCOR1
Complex_441,HDAC1-associated protein complex_646,CHD3:HDAC1:KDM1A:MBD2:MBD3:MTA2:RBBP4:RBBP7:RCOR1
Complex_442,HDAC2-asscociated core complex_650,GATAD2A:HDAC2:MBD3:MTA2:RBBP4:RBBP7
Complex_443,HDAC2-asscociated core complex_650,CHD3:GATAD2A:HDAC2:MBD3:MTA2:RBBP4:RBBP7
Complex_444,HDAC4-ERK1 complex_55,HDAC4
Complex_445,HDAC4-ERK2 complex_57,HDAC4:MAPK1
Complex_446,HDAC4-ERK2 complex_57,HDAC4
Complex_447,HES1 promoter corepressor complex_2638,CDK7:POLR2A:SUPT6H
Complex_448,HES1 promoter corepressor complex_2638,CDK7:CREBBP:POLR2A:SUPT6H
Complex_449,HES1 promoter-Notch enhancer complex_2639,CCNT1:CDK7:CDK9:POLR2A:SUPT16H:SUPT6H
Complex_450,HES1 promoter-Notch enhancer complex_2639,CDK7:CDK9:MED1:POLR2A:SUPT16H:SUPT6H
Complex_451,HINT1-UBC3-RBX1 complex_7325,CDC34:HINT1
Complex_452,HK1-VDAC1 complex_7418#ATF2-HK1-VDAC1 complex_7427,HK1:VDAC1
Complex_453,HK1-VDAC1 complex_7418#ATF2-HK1-VDAC1 complex_7427,HK1
Complex_454,HOOK1-SHP2 complex_7441,HOOK1:PTPN11
Complex_455,HOPS complex_6389,VPS11:VPS16:VPS18:VPS39
Complex_456,HOPS complex_6389,VPS11:VPS16:VPS18:VPS33A:VPS39
Complex_457,HPFH(-198) complex_647,DNMT1:GTF2F1
Complex_458,HSP70-BAG5-PARK2 complex_5423,BAG5:HSPA4
Complex_459,HSP90-CDC37-LRRK2 complex_5849,CDC37:HSP90AB1
Complex_460,HSP90-CIP1-FKBPL complex_5622,FKBPL:HSP90AA1
Complex_461,HSP90-FKBP38-CAM-Ca(2+) complex_4158,FKBP8:HSP90AA1
Complex_462,HSPA9-GRPEL1 complex_7124,GRPEL1:HSPA9
Complex_463,HSPA9-GRPEL1-GRPEL2 complex_7122,GRPEL1:GRPEL2:HSPA9
Complex_464,HSPA9-GRPEL1-GRPEL2-TIMM44 complex_7126,GRPEL1:GRPEL2:HSPA9:TIMM44
Complex_465,HSPA9-GRPEL2 complex_7125,GRPEL2:HSPA9
Complex_466,Hip1R-cortactin complex_1130,CTTN
Complex_467,Histone H3.1 complex_1149,ASF1A:CHAF1B:HAT1:HIST1H4A:IPO4:NASP:RBBP4
Complex_468,Histone H3.1 complex_1149,ASF1A:CHAF1A:CHAF1B:HAT1:HIST1H4A:IPO4:NASP:RBBP4
Complex_469,Histone H3.3 complex_1150,ASF1A:HAT1:HIST1H4A:IPO4:NASP:RBBP4
Complex_470,Hook1-Vps16 complex_6116,HOOK1:VPS16
Complex_471,Hook1-Vps18 complex_6117,HOOK1:VPS18
Complex_472,Hook1-Vps39 complex_6118,HOOK1:VPS39
Complex_473,Hsp110-Hsc70-Hsp25 complex_5616,HSPA8:HSPB1:HSPH1
Complex_474,HuCHRAC complex_234,CHRAC1:POLE3
Complex_475,HuCHRAC complex_234,BAZ1A:POLE3:SMARCA5
Complex_476,I-kappa-B kinase complex_5844,CHUK:IKBKB:IKBKG
Complex_477,IFP35-NMI complex_1064,IFI35:NMI
Complex_478,IGBP1-MID1-PPP2CA complex_7251,IGBP1:MID1
Complex_479,IKB(alpha)-RELA-cREL complex_5467,REL:RELA
Complex_480,IKB(beta)-RELA-cREL complex_5466,NFKBIB:REL:RELA
Complex_481,IKB(epsilon)-RELA-cREL complex_5465,NFKBIE:REL:RELA
Complex_482,IKBKB-CDC37-KIAA1967-HSP90AB1-HSP90AA1 complex_5234,CCAR2:CDC37:HSP90AA1:HSP90AB1:IKBKB
Complex_483,IKBKG-CHUK complex_5829,CHUK:IKBKG
Complex_484,IKBKG-IKBKB  complex_5828,IKBKB:IKBKG
Complex_485,"IKK complex (Nemo, Ikkb)_2768",IKBKB:IKBKG
Complex_486,ILF3-XPO5 complex_3080,ILF3:XPO5
Complex_487,ILK-HSP90-CDC37 complex_6512,CDC37:HSP90AA1:ILK
Complex_488,ILK-LIMS1-PARVA complex_6919,ILK:LIMS1:PARVA
Complex_489,ILK-LIMS2-PARVA complex_6920,ILK:LIMS2:PARVA
Complex_490,ILK-PARVB-ARHGEF6 complex_5498,ILK:PARVB
Complex_491,ILK-SERCA2A-PLN complex_6510,ATP2A2:ILK
Complex_492,INO80 chromatin remodeling complex_302,ACTL6A:ACTR5:ACTR8:RUVBL1:RUVBL2
Complex_493,IRF2BP2-IRF2BP1-IRF2BPL complex_6848,IRF2BP1:IRF2BP2:IRF2BPL
Complex_494,ITAGV-ITGB3-F11R complex_2362,F11R:ITGAV
Complex_495,ITGA1-ITGB1-COL6A3 complex_2434#ITGA1-ITGB1-PTPN2 complex_2435,ITGA1:ITGB1
Complex_496,ITGA11-ITGB1 complex_3058#ITGA11-ITGB1-COL1A1 complex_3059,ITGA11:ITGB1
Complex_497,ITGA2-ITGB1-CD47 complex_2429,CD47:ITGA2:ITGB1
Complex_498,ITGA2-ITGB1-CHAD complex_2430#ITGA2-ITGB1-COL6A3 complex_2431#ITGA2-ITGB1 complex_2432,ITGA2:ITGB1
Complex_499,ITGA2b-ITGB3-CD47-FAK complex_2896,CD47:PTK2
Complex_500,ITGA2b-ITGB3-CD47-FAK complex_2896,CD47
Complex_501,ITGA2b-ITGB3-CD9-GP1b-CD47 complex_2872,CD47:CD9
Complex_502,ITGA3-ITGB1-BSG complex_2398,BSG:ITGA3:ITGB1
Complex_503,ITGA3-ITGB1-CD151 complex_2400,CD151:ITGA3:ITGB1
Complex_504,ITGA3-ITGB1-CD63 complex_2399#ITGA3-ITGB1-THBS1 complex_2401#ITGA3-ITGB1 complex_2406,ITGA3:ITGB1
Complex_505,ITGA4-ITGB1-CD47 complex_2423,CD47:ITGB1
Complex_506,ITGA4-ITGB1-CD81 complex_2419,CD81:ITGB1
Complex_507,ITGA4-PXN-GIT1 complex_1810,GIT1:PXN
Complex_508,ITGA4-PXN-YWHAZ complex_6934,PXN:YWHAZ
Complex_509,ITGA5-ITGB1-ADAM15 complex_2384#ITGA5-ITGB4 complex_2385#Itga-Itgb1-Ppap2b complex_2386#Itga5-Itgb1-Fn1-Sfrp2 complex_2388#ITGA5-ITGB1-FN-1-NOV complex_2850#ITGA5-ITGB1-CAL4A3 complex_2853#ITGA5-ITGB1-SPP1 complex_3112,ITGA5:ITGB1
Complex_510,ITGA5-ITGB1-FN1-TGM2 complex_2383#Itga5-Itgb1-Tgm2 complex_2433,ITGA5:ITGB1:TGM2
Complex_511,ITGA6-ITGB1 complex_2413#ITGA6-ITGB1-CYR61 complex_2437,ITGA6:ITGB1
Complex_512,ITGA6-ITGB1-CD151 complex_2411,CD151:ITGA6:ITGB1
