ComplexID,ComplexName,Organism,Subunits_UniProt_IDs,GO description
1035,OAP-1-OSP/claudin-11-ITGB1 complex,Mouse,"P09055,Q60771,Q9QY33",cell migration;neuron differentiation;nervous system development;central nervous system development;plasma membrane;glial cell migration;myelination
1037,TFIIH transcription factor core complex,Human,"P19447,P32780,Q13888,Q13889,Q92759","DNA repair;cell cycle;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;regulation of catalytic activity;nucleus"
1039,PCNA-PAF complex,Human,"P12004,Q15004",DNA repair;cell cycle;apoptotic process;nucleus;mitochondrion
1040,p33ING1b-PCNA complex,Human,"Q15004,Q9UK53",DNA repair;cell cycle;apoptotic process;nucleus;mitochondrion
1041,Alpha-dystrobrevin-ZO-1-actin complex,Human,"P60709,Q07157,Q9Y4J8",cell-cell junction assembly;cell junction
1042,SRA-SRC-1 ribonucleoprotein complex,Human,"Q15788,Q9HD15","positive regulation of transcription, DNA-templated;signaling;nucleus"
1043,Car-Lnx2 complex,Mouse,"P97792,Q91XL2",protein binding;single organismal cell-cell adhesion
1044,Car-Jam3 complex,Mouse,"P97792,Q9D8B7",protein binding;germ cell development
1045,Snurportin-CRM1-RanGTP complex,Human,"O14980,O95149,P62826",protein transport;protein transporter activity;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus
1047,Lnx1-Jam4-Numb complex,Mouse,"O70263,Q7TSN7,Q9QZS3",protein binding;endocytosis
1050,Vdr-Med4 complex,Mouse,"P48281,Q9CQA5","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding"
1052,"Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)",Human,"P62877,P63208,Q13616,Q9UKB1",protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process
1054,ESR1-RELA-BCL3-NCOA3 complex,Human,"P03372,P20749,Q04206,Q9Y6Q9","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;signaling"
1055,ZNF198-PML complex,Human,"P29590,Q9UBW7","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"
1056,ZNF198-SUMO1 complex,Human,"P63165,Q9UBW7","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"
1057,DIPA-MCRS1 complex,Human,"Q15834,Q96EZ8","negative regulation of transcription, DNA-templated;chromosome"
1058,"SNX complex (SNX1, SNX6)",Human,"Q13596,Q9UNH7","retrograde transport, vesicle recycling within Golgi;endosome"
1060,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)",Human,"O60749,Q13596,Q4G0F5,Q96QK1,Q9UBQ0","retrograde transport, vesicle recycling within Golgi"
1062,BAR-BCL2-CASP8 complex,Human,"P10415,Q14790,Q9NZS9",apoptotic process
1063,GRASP-GRP1 complex,Human,"O43739,Q7Z6J2",small GTPase mediated signal transduction;plasma membrane
1064,IFP35-NMI complex,Human,"P80217,Q13287",proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process
1066,mPar6c-Mlgl-aPKCz complex,Mouse,"Q02956,Q80Y17,Q9Z101",anisotropic cell growth;axis specification;epithelial cell differentiation;morphogenesis of an epithelium
1067,CD8A-LCK complex,Human,"P01732,P06239",transmembrane receptor protein tyrosine kinase signaling pathway;immune response;plasma membrane
1068,12S U11 snRNP,Human,"P14678,P62304,P62306,P62308,P62314,P62316,P62318,P67809,Q16560,Q16629,Q6IEG0,Q8N8D1,Q96GM8,Q9BV90,Q9H875","mRNA splicing, via spliceosome;mRNA processing;nucleus"
1069,FIF-FGR2 complex,Human,"P09038,Q9BZZ5",protein binding
1070,"SNX complex (SNX1, SNX1a, SNX2, SNX4)",Human,"O60749,O95219,Q13596",protein transport;protein transporter activity;cellular protein catabolic process
1071,PKD2-FPC complex,Human,"P08F94,Q13563",cation transport;ion channel activity;cellular metal ion homeostasis
1072,"SNX complex (SNX2), oligomeric",Human,O60749,epidermal growth factor receptor binding;insulin receptor binding;leptin receptor binding;protein homodimerization activity;platelet-derived growth factor binding
1074,Pkd2-Fpc-Kif3b complex,Mouse,"O35245,Q61771,Q8CIS7",cation transport;ion channel activity;cellular metal ion homeostasis
1076,Pkd2-Pkhd1 complex,Mouse,"E9PZ36,O35245",cation transmembrane transporter activity;cation transport;ion channel activity;cellular metal ion homeostasis;detection of mechanical stimulus;response to mechanical stimulus;plasma membrane
1077,KIF3A-PKD2-PKHD1 complex,Dog,"E2RK30,F1PGE3,F6UP44",cation transmembrane transporter activity;cation transport;ion channel activity;cellular metal ion homeostasis;detection of mechanical stimulus;response to mechanical stimulus;plasma membrane
1079,P-TEFb.1 complex,Human,"O60563,P50750","DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;nucleus;phosphorylation of RNA polymerase II C-terminal domain"
1080,P-TEFb.2 complex,Human,"O60583,P50750","DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;nucleus;phosphorylation of RNA polymerase II C-terminal domain"
1083,P-TEFb.4 complex,Human,"O75909,P50750","DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;nucleus;phosphorylation of RNA polymerase II C-terminal domain"
1084,Tiam2-PAR-3-aPKC-PAR-6-Rac1-GTP complex,Rat,"D3ZMS5,P97701,Q6B4M5,Q6RUV5,Q9Z340",small GTPase mediated signal transduction;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation
1085,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,Human,"O00764,P06746,P18887,P49916,Q969S2",DNA repair;DNA binding;nucleus
1086,DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,Human,"O00764,P06746,P18887,P49916,Q96FI4",DNA repair;DNA binding;nucleus
1087,BIRC5-AURKB-INCENP-EVI5 complex,Human,"O15392,O60447,Q96GD4,Q9NQS7",cytokinesis;barrier septum assembly
1088,PRNP-ApolopoproteinE3 complex,Human,"P04156,Q13791",protein binding
1089,VAM1-VELI1 complex,Human,"O14910,Q9NZW5",protein complex assembly
1090,APLG1-Rababtin5 complex,Human,"O43747,Q15276",vesicle-mediated transport
1091,"SNX complex (SNX1, SNX1a, SNX2, SNX4, LEPR)",Human,"O60749,O95219,P48357,Q13596",enzyme linked receptor protein signaling pathway;cellular protein catabolic process;leptin receptor activity
1092,PCNA-KU antigen complex,Human,"P12004,P12956,P13010",DNA repair;DNA binding;ATP binding;cellular response to DNA damage stimulus
1093,"SNX complex (SNX1, SNX1a, SNX2, SNX4, INSR)",Human,"O60749,O95219,P06213,Q13596",protein transporter activity;insulin receptor signaling pathway;insulin receptor binding
1094,Frataxin complex,Human,"O75964,P10809,P31040,P38646,Q16595,Q9HD34,Q9Y4W6",protein binding;mitochondrion
1095,"SNX complex (SNX1, SNX1a, SNX2, SNX4, EGFR)",Human,"O60749,O95219,P00533,Q13596",protein transporter activity;epidermal growth factor receptor signaling pathway;epidermal growth factor receptor binding
1096,"SNX complex (SNX1, SNX1a, SNX2, SNX4, PDGFRA)",Human,"O60749,O95219,P16234,Q13596",enzyme linked receptor protein signaling pathway;platelet-derived growth factor receptor binding
1097,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)",Human,"O00303,O15371,O15372,O75821,O75822,P55884,P60228,Q13347,Q14152,Q7L2H7,Q99613,Q9UBQ5,Q9Y262",translational initiation
1100,DNA polymerase alpha-primase complex,Human,"P09884,P49642,P49643,Q14181",pre-replicative complex assembly involved in nuclear cell cycle DNA replication;DNA replication origin binding;nucleus
1103,"Wave1-Bcl-xl-Pancortin-2 complex, focal ischemic stroke induced",Mouse,"O88998,Q61337,Q8R5H6",apoptotic mitochondrial changes;mitochondrion;release of cytochrome c from mitochondria;neuron apoptotic process
1104,"SNX complex (SNX1, SNX1a, TFRC)",Human,"P02786,Q13596",protein transporter activity;transferrin receptor activity;transferrin receptor binding
1105,transcription factor IIIC multisubunit complex,Human,"Q12789,Q8WUA4,Q9UKN8,Q9Y5Q8,Q9Y5Q9","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"
1106,TFIIIC containing-TOP1-SUB1 complex,Human,"P11387,P53999,Q12789,Q8WUA4,Q9UKN8,Q9Y5Q8,Q9Y5Q9","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"
1109,DNA polymerase alpha,Mouse,"P33609,P33611",DNA replication;nucleus
1111,DNA synthesome complex (17 subunits),Human,"P09884,P11387,P11388,P12004,P27694,P28340,P35251,P49005,P49642,P49643,P56282,Q07864,Q14181,Q15054,Q9HCU8,Q9NR33,Q9NRF9",DNA replication;nucleus
1112,Psd-Actn1 complex,Mouse,"Q5DTT2,Q7TPR4",neuron projection development
1113,5S-DNA-TFIIIA-TFIIIC2 subcomplex,Human,"Q12789,Q8WUA4,Q92664,Q9UKN8,Q9Y5Q8,Q9Y5Q9","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"
1114,5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Human,"A6H8Y1,P20226,Q12789,Q8WUA4,Q92664,Q92994,Q9UKN8,Q9Y5Q8,Q9Y5Q9","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"
1115,Cdk5-Cdk5r1 complex,Mouse,"P49615,P61809",protein phosphorylation;nervous system development;astrocyte projection
1116,CRM1-Survivin-AuroraB mitotic complex,Human,"O14980,O15392,Q96GD4","mitotic cell cycle;nuclear transport;chromosome, centromeric region"
1117,CRM1-Survivin mitotic complex,Human,"O14980,O15392","mitotic cell cycle;nuclear transport;chromosome, centromeric region"
1119,"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)",Human,"O15392,Q53HL2,Q96GD4,Q9NQS7","mitotic cell cycle;chromosome segregation;chromosome, centromeric region;spindle assembly"
1120,"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5)",Human,"O15392,Q53HL2,Q9NQS7","mitotic cell cycle;chromosome segregation;chromosome, centromeric region;spindle assembly"
1121,WNK1-OSR1 complex,Human,"O95747,Q9H4A3",protein binding;response to osmotic stress;excretion;water homeostasis;detection of osmotic stimulus
1122,Smcb-Smcd-PW29 complex,Mouse,"Q61550,Q9CU62,Q9CW03",mitotic cell cycle;chromosome segregation;chromosome
1123,WNK1-SPAK complex,Human,"Q9H4A3,Q9UEW8",response to osmotic stress;excretion;water homeostasis;detection of osmotic stimulus
1127,Shps1-Fyb-Skap55r complex,Mammalia,"O35601,P97797,Q3UND0",signaling;cell adhesion;phagocytosis
1128,Shps1-Pyk2 complex,Mammalia,"P97797,Q9QVP9",signaling;cell adhesion;phagocytosis
1130,Hip1R-cortactin complex,Human,"O75146,Q14247",structural molecule activity;actin filament-based movement;cytoplasm
1131,RFC2-RIalpha complex,Human,"P30153,P35250",protein binding
1132,RFC2-RIalpha complex,Human,"P30153,P35249",protein binding
1133,ATR-HDAC2 complex,Human,"Q13535,Q92769",DNA topological change;protein acetylation;protein deacetylation;chromosome organization
1134,ATR-HDAC2-CHD4 complex,Human,"Q13535,Q14839,Q92769",DNA topological change;cell cycle checkpoint;protein acetylation;protein deacetylation;cellular response to DNA damage stimulus;chromosome organization;nucleus
1135,Mss4-Itga3 complex,Mouse,"Q62470,Q91X96",extracellular matrix organization;regulation of metallopeptidase activity
1136,Mss4-Itga7 complex,Mouse,"Q61738,Q91X96",extracellular matrix organization;regulation of metallopeptidase activity
1137,"SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3)",Human,"O14810,P60880,P63027,Q16623,Q8WVH0",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis
1138,"SNARE complex (VAMP2, SNAP25, STX1a, CPLX3, CPLX4)",Human,"P60880,P63027,Q16623,Q7Z7G2,Q8WVH0",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis
1139,"SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)",Human,"O14810,P60880,P63027,Q13277,Q16623,Q7Z7G2,Q8WVH0",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis
1140,"Complexin complex (STX3, CPLX1, CPLX3)",Human,"O14810,Q13277,Q8WVH0",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis
1141,CF IIAm complex (Cleavage factor IIAm complex),Human,"O43809,O60231,O94913,P19447,P23246,P26368,P26599,P49959,Q01081,Q07157,Q14444,Q16630,Q8N684,Q92759,Q92989,Q9UKF6",RNA 3'-end processing;mRNA 3'-end processing;nucleus
1143,SMN complex,Human,"O14893,P14678,P57678,P62304,P62306,P62308,P62314,P62316,P62318,Q16637,Q8TEQ6,Q8WXD5,Q9H840,Q9NWZ8,Q9UHI6,Q9Y3F4",RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;cytoplasm;nucleus
1144,Cleavage and polyadenylation factor (CPSF),Human,"O95639,Q10570,Q6UN15,Q9P2I0,Q9UKF6",mRNA 3'-end processing;RNA binding;protein binding;nucleus;regulation of mRNA polyadenylation
1145,CPSF6-NUDT21 complex,Mammalia,"A0A0D9QW47,A0A0D9QYM3",RNA 3'-end processing;mRNA 3'-end processing;RNA binding;nucleus
1146,Cleavage stimulation factor,Human,"P33240,Q05048,Q12996",RNA 3'-end processing;mRNA 3'-end processing;RNA binding;nucleus
1147,"Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)",Human,"P33240,Q05048,Q10570,Q12996,Q92797,Q9P2I0,Q9UKF6",mRNA 3'-end processing;RNA binding;nucleus;mRNA polyadenylation
1148,snRNP-free U1A (SF-A) complex,Human,"P09012,P17844,P23246,Q15233",RNA 3'-end processing;mRNA 3'-end processing;RNA binding;nucleus
1149,Histone H3.1 complex,Human,"O14929,P49321,P62805,P68431,Q09028,Q13111,Q13112,Q8TEX9,Q9NVP2,Q9Y294",protein complex assembly;nucleus
1150,Histone H3.3 complex,Human,"O14929,P49321,P54198,P62805,P84243,Q09028,Q8TEX9,Q9NVP2,Q9Y294",protein complex assembly;nucleus
1151,Sycp1-Syce1-Syce2 complex,Mouse,"Q505B8,Q62209,Q9D495",meiotic nuclear division;nucleus
1152,FA complex (Fanconi anemia complex),Human,"O15287,O15360,Q00597,Q8IYD8,Q8NB91,Q9HB96,Q9NPI8,Q9NW38",protein ubiquitination;cellular response to DNA damage stimulus;nucleus
1153,Integrator complex,Human,"Q5TA45,Q68E01,Q6P9B9,Q75QN2,Q8N201,Q96CB8,Q96HW7,Q9H0H0,Q9NV88,Q9NVH2,Q9NVR2,Q9UL03",RNA processing;nucleus
1154,DSS1 complex,Human,"A6NKF1,P51587,P60896,Q5TA45,Q6P9B9,Q75QN2,Q96HW7,Q96PV6,Q9H0H0,Q9NV88,Q9NVH2,Q9NVR2,Q9UL03",nucleus
1155,Integrator-RNAPII complex,Human,"P24928,P30876,Q5TA45,Q68E01,Q6P9B9,Q75QN2,Q8N201,Q96CB8,Q96HW7,Q9H0H0,Q9NV88,Q9NVH2,Q9NVR2,Q9UL03","transcription, DNA-templated;RNA processing;nucleus"
1156,"PS1-E-cadherin-catenin complex, epithelial",Dog,"B6V8E6,E2R9S7,F1PAA9,Q6RH31",single organismal cell-cell adhesion;cell-cell junction organization;cell-cell junction assembly;cell-cell junction
1157,"PS1-E-cadherin-catenin complex, brain",Mouse,"P09803,P15116,P49769,Q02248",calcium ion binding;single organismal cell-cell adhesion;cell-cell junction organization;cell-cell junction assembly;cell-cell junction
1158,p33ING1b-p300 complex,Human,"Q09472,Q9UK53",DNA topological change;mitotic cell cycle;regulation of cell cycle;protein acetylation;chromosome organization;chromosome
1159,p33ING1b-HDAC1 complex,Human,"Q13547,Q9UK53",DNA topological change;mitotic cell cycle;regulation of cell cycle;protein deacetylation;chromosome organization;chromosome
1160,ING1-p300-PCNA complex,Human,"P12004,Q09472,Q9UK53",DNA repair;DNA topological change;mitotic cell cycle;regulation of cell cycle;protein acetylation;chromosome organization;chromosome
1161,Smrt-Sin3A-Hdac7 complex,Mouse,"Q60520,Q8C2B3,Q9WU42","DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;chromosome organization;nucleus"
1162,"Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1)",Human,"P62877,Q13619,Q13620,Q16531,Q92466",protein ubiquitination;cellular response to DNA damage stimulus;response to radiation;ubiquitin-dependent protein catabolic process;nucleosome
1164,ActRIIA-ActRIB-Smad3-Arip1 complex,Mouse,"P27038,Q61271,Q8BUN5,Q9WVQ1",transmembrane receptor protein serine/threonine kinase signaling pathway;activin receptor signaling pathway
1165,RNF20-RNF40-UbE2E1 complex,Human,"O75150,P51965,Q5VTR2","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process"
1166,p400-associated complex,Human,"O96019,P60709,Q96L91,Q9Y230,Q9Y265,Q9Y4A5",chromosome organization;DNA topological change;protein binding;nucleus
1167,Paf complex,Human,"Q6P1J9,Q6PD62,Q8N7H5,Q8WVC0,Q9GZS3","transcription, DNA-templated;nucleus"
1168,SKI complex,Human,"Q15477,Q6PGP7,Q9GZS3","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;cytoplasm;nucleus;regulation of mRNA stability"
1169,"SNARE complex (STX4, VAMP8, VAMP3, SNAP23)",Human,"O00161,Q12846,Q15836,Q9BV40",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis
1170,c-MYC-ATPase-helicase complex,Human,"O96019,P01106,Q9Y230,Q9Y265,Q9Y4A5","chromosome organization;DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;nucleus"
1172,CBC complex (cap binding complex),Human,"P52298,Q09161",RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nucleus
1173,TIP49-TIP48-BAF53 complex,Human,"O96019,Q9Y230,Q9Y265",chromosome organization;nucleus
1174,PHAX-CBC complex (cap binding complex),Human,"P52298,Q09161,Q9H814",RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus
1175,TRRAP-BAF53-HAT complex,Human,"O96019,Q9Y4A5","DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;chromosome organization;nucleus"
1176,CRM1-RAN-PHAX-CBC complex (cap binding complex),Human,"O14980,P52298,P62826,Q09161,Q9H814",RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus
1177,Polycomb repressive complex 4,Human,"O75530,Q15910,Q96EB6","DNA topological change;chromosome organization;nucleus;negative regulation of transcription, DNA-templated"
1178,BCOR complex,Human,"P11142,P63208,Q06587,Q6W2J9,Q8N488,Q8NHM5,Q99496,Q9BSM1","protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process;covalent chromatin modification;transcription, DNA-templated;histone demethylation"
1179,CENP-A NAC-CAD complex,Human,"Q03188,Q13352,Q6IPU0,Q71F23,Q7L2Z9,Q8N0S6,Q8N2Z9,Q96BT3,Q96H22,Q9BS16,Q9BU64,Q9H3R5,Q9NSP4","regulation of gene expression by genetic imprinting;kinetochore assembly;chromosome segregation;spindle assembly;centrosome cycle;chromosome, centromeric region"
1180,Sur2 subcomplex of mediator,Mouse,"Q6PGF3,Q80YQ2,Q99K74","positive regulation of transcription, DNA-templated;protein binding;MAPK cascade;nucleus"
1181,C complex spliceosome,Human,"O43290,O43390,O43660,O60306,O60506,O60508,O75533,O75643,O94906,O95391,O95926,P07910,P08579,P09651,P09661,P11940,P14678,P17844,P22626,P31943,P38159,P38919,P42285,P51991,P52272,P52597,P61326,P61978,P62304,P62306,P62308,P62310,P62314,P62316,P62318,Q00839,Q01081,Q07955,Q12874,Q13435,Q13523,Q13573,Q14331,Q14562,Q15029,Q15393,Q15428,Q15459,Q6NZY4,Q6P2Q9,Q6UX04,Q86V81,Q8IYB3,Q8WUQ7,Q92620,Q96BP3,Q96DF8,Q96DI7,Q99459,Q9BRR8,Q9BRX9,Q9BUQ8,Q9BZJ0,Q9H2H8,Q9H307,Q9H5Z1,Q9HCG8,Q9HCS7,Q9NW64,Q9P013,Q9UBB9,Q9UJV9,Q9UKM9,Q9ULR0,Q9UMS4,Q9UNP9,Q9UQ35,Q9Y333,Q9Y3C6,Q9Y5S9",RNA splicing;RNA binding;nucleus
1182,CDC5L core complex,Human,"O43660,O75934,P11142,Q92616,Q99459,Q9UMS4",RNA splicing;RNA binding;nucleus
1183,CDC5L complex,Human,"A8K8P3,O15297,O43660,O75533,O75934,P09012,P09661,P11142,P11388,P15884,P23246,P38159,P62136,P62314,P62316,P62318,P78527,Q01130,Q07955,Q12905,Q13435,Q14204,Q15427,Q7L1Q6,Q8IYB3,Q92616,Q99459,Q9P013,Q9UMS4,Q9UPN6",RNA splicing;RNA binding;nucleus
1184,Mediator complex,Mouse,"A2AGH6,Q569Z6,Q5U427,Q62447,Q6PGF3,Q80YQ2,Q921D4,Q925J9,Q99K74","positive regulation of transcription, DNA-templated;nucleus"
1185,EGFR-containing signaling complex,Human,"O00443,O00750,P00533,P04626",epidermal growth factor receptor signaling pathway
1186,ESCRT-III complex,Human,"O43633,Q7LBR1,Q96CF2,Q96FZ7,Q9BY43,Q9H444,Q9HD42,Q9NZZ3,Q9UQN3,Q9Y3E7",intracellular protein transport;protein targeting;protein transport;protein transporter activity;vesicle-mediated transport;cytoplasm
1187,ESCRT-II complex,Human,"Q86VN1,Q96H20,Q9BRG1",intracellular protein transport;protein targeting;protein transport;protein transporter activity;vesicle-mediated transport;cytoplasm
1189,DNA double-strand break end-joining complex,Human,"O60934,P12956,P13010,P49917,P49959,Q13426,Q92878",DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus
1190,NCBP-NIP1 complex,Human,"Q09161,Q96P71",nucleus;RNA cap binding
1191,RNA pol II containing coactivator complex Tat-SF,Human,"O00267,O43719,P19338,P24928,P50750","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"
1192,ESCRT-I complex,Human,"A5D8V6,Q99816,Q9UK41",intracellular protein transport;protein targeting;protein transport;protein transporter activity;vesicle-mediated transport;cytoplasm;endoplasmic reticulum
1193,Rap1 complex,Human,"P09874,P12956,P13010,P49959,Q15554,Q92878,Q9NYB0",DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus
1194,E2F-6 complex,Human,"O75461,O75712,P61244,Q06587,Q14186,Q8IWI9,Q8IY57,Q969R5,Q96KQ7,Q99496,Q9BYE7,Q9H9B1","negative regulation of transcription, DNA-templated;DNA binding;nucleus;histone H3-K9 methylation"
1195,Exon junction complex (mRNA splicing-dependent),Human,"Q6P2Q9,Q8IYB3",RNA splicing;RNA binding;nucleus
1197,Telomere-associated protein complex,Human,"P54274,Q15554,Q96AP0,Q9BSI4,Q9NUX5,Q9NYB0",DNA binding;chromosome organization;nucleus;telomere maintenance
1198,TIN2 complex,Human,"Q15554,Q96AP0,Q9BSI4,Q9NUX5",DNA binding;chromosome organization;nucleus
1199,Oligosaccharyltransferase complex (Stt3A variant),Human,"P04843,P04844,P39656,P46977,P61803,Q9H0U3",protein N-linked glycosylation;endoplasmic reticulum
1200,Oligosaccharyltransferase complex (Stt3B variant),Human,"P04843,P04844,P39656,P61803,Q13454,Q8TCJ2,Q9H0U3",protein N-linked glycosylation;endoplasmic reticulum
1201,TRF1-TIN2 complex,Human,"P54274,Q96AP0,Q9BSI4,Q9NUX5",DNA binding;chromosome organization;nucleus
1202,TRF1 telomere length regulation complex,Human,"O95271,P54274,Q9BSI4",chromosome organization;nucleus
1203,Oligosaccharyltransferase OSTC-I,Dog,"E2R4X3,E2RQ08,F1PCT7,F1PJP5,P86218,P86229,Q05052",protein N-linked glycosylation;endoplasmic reticulum
1204,Rap1 complex,Human,"P54274,Q15554,Q92878,Q96AP0,Q9BSI4,Q9NUX5,Q9NYB0",DNA binding;chromosome organization;nucleus
1205,TRF2-Rap1 complex III,Human,"Q15554,Q9NYB0",DNA binding;chromosome organization;nucleus
1206,"TRF-Rap1 complex I, 2MD",Human,"O95271,P54274,Q15554,Q9BSI4,Q9NUX5,Q9NYB0",DNA binding;chromosome organization;nucleus
1208,Oligosaccharyltransferase OSTC-II,Dog,"E2R4X3,E2RQ08,F1PCT7,F1PJP5,P38377,P60058,P60467,P86218,P86229,Q05052",protein N-linked glycosylation;endoplasmic reticulum
1209,Oligosaccharyltransferase OSTC-III,Dog,"E2R0K5,E2R4X3,E2RQ08,F1PCT7,F1PJP5,P16967,P38377,P60467,P86218,P86229,Q05052",protein N-linked glycosylation;endoplasmic reticulum
1210,Sec61-Sec62-Sec63 complex,Bovine,"E1B7B1,F1MUP3,Q2NKT5,Q3T104,Q5EA68",protein transport;protein transporter activity;channel activity;transport;endoplasmic reticulum
1211,"Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)",Human,"P27540,P35869,P62877,Q12788,Q13620,Q16531",protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;nucleus
1212,"SNARE complex (Stx4, Vamp8, Snap23)",Mouse,"O09044,O70404,P70452",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis
1214,"Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)",Human,"P62877,Q13619,Q16531,Q7L5Y6,Q8NHY2",protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;nucleus
1215,"Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)",Human,"P62877,P63208,Q13616,Q969H0",protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;Notch signaling pathway;signaling
1216,Hspb2-Hspb3 complex,Rat,"O35878,Q9QZ58",protein binding
1217,WRN-TRF2 complex,Human,"Q14191,Q15554",chromosome organization;cell aging
1218,BLM-TRF2 complex,Human,"P54132,Q15554",chromosome organization;cell aging
1219,Tankyrin 1-tankyrin 2-TRF1 complex,Human,"O95271,P54274,Q9H2K2",chromosome organization;nucleus
1220,TRF2-Ku complex,Human,"P12956,P13010,Q15554",DNA binding;chromosome organization;nucleus
1221,TFIIA-TRF2 complex,Human,"P52655,P52657,Q15554","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"
1222,Irs1-Grb2-Ptpn1 complex,Rat,"P20417,P35570,P62994",protein dephosphorylation;insulin receptor signaling pathway
1223,"H2AX complex, isolated from cells without IR exposure",Human,"O43390,P05455,P06748,P11021,P11940,P16104,P27797,P62158,P62805,Q08945,Q8N257,Q9Y262,Q9Y5B9","DNA topological change;cell cycle checkpoint;DNA-templated transcription, elongation;chromosome organization;nucleus"
1224,"Ubiquitin E3 ligase (BMI1, SPOP, CUL3)",Human,"O43791,P35226,Q13618",dosage compensation by inactivation of X chromosome;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process
1225,"Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)",Human,"O43791,O75367,Q13618",dosage compensation by inactivation of X chromosome;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process
1226,H2AX complex I,Human,"P06748,P09874,P11021,P16104,P27797,Q7L2E3,Q8N257","DNA repair;DNA topological change;cell cycle checkpoint;DNA-templated transcription, elongation;cellular response to DNA damage stimulus;chromosome organization;nucleus"
